ingredient,label,n_co,odds_ratio,pmi
buchu leaf extract,Cognitive/Focus,1,0.5828710747394185,-0.6448446756242131
"chlorella, powder",Cognitive/Focus,1,0.5828710747394185,-0.6448446756242131
saw palmetto extract,Cognitive/Focus,1,0.5828710747394185,-0.6448446756242131
sulfate,Cognitive/Focus,1,0.5828710747394185,-0.6448446756242131
"beet root juice, powder",Cognitive/Focus,3,0.582642322929569,-0.6686914175785809
cranberry fruit extract,Cognitive/Focus,3,0.582642322929569,-0.6686914175785809
"garlic, powder",Cognitive/Focus,3,0.5727484396276484,-0.6921503904025699
barberry,Cognitive/Focus,1,0.5634237690691514,-0.6921503904025699
horse chestnut seed extract,Cognitive/Focus,1,0.5634237690691514,-0.6921503904025699
calories from fat,Cognitive/Focus,2,0.5510404748283753,-0.7379540800156948
dandelion,Cognitive/Focus,4,0.5484038725947668,-0.7558759880129572
"panax ginseng, powder",Cognitive/Focus,1,0.545231128280837,-0.7379540800156946
bioflavonoids,Cognitive/Focus,2,0.5392987122060471,-0.7677014234097468
ginger root extract,Cognitive/Focus,9,0.5304714476463892,-0.8083434079070928
cat s claw,Cognitive/Focus,1,0.5281755275417923,-0.7823481993741482
ceylon cinnamon,Cognitive/Focus,1,0.5281755275417923,-0.7823481993741482
evening primrose oil,Cognitive/Focus,1,0.5281755275417923,-0.7823481993741482
"tongkat ali, powder",Cognitive/Focus,1,0.5281755275417923,-0.7823481993741482
para-aminobenzoic acid,Cognitive/Focus,15,0.5242931079699634,-0.825416921266034
betaine hydrochloride,Cognitive/Focus,10,0.5240144036754206,-0.825416921266034
d-ribose,Cognitive/Focus,1,0.5121535995748109,-0.825416921266034
"pomegranate fruit juice, powder",Cognitive/Focus,1,0.5121535995748109,-0.825416921266034
bilberry fruit extract,Cognitive/Focus,4,0.5086610842712594,-0.8589694809770608
"blueberry, powder",Cognitive/Focus,0,0.4972119258662369,-0.825416921266034
apigenin,Cognitive/Focus,1,0.4970741379588284,-0.8672370969606611
maca,Cognitive/Focus,3,0.4967983354570235,-0.8877011995203765
black elderberry fruit extract,Cognitive/Focus,1,0.48285635986375913,-0.9078790814580069
cascara sagrada,Cognitive/Focus,1,0.48285635986375913,-0.9078790814580069
rhodiola,Cognitive/Focus,2,0.4781529294935452,-0.9343512928191982
chlorella,Cognitive/Focus,3,0.4757605131750194,-0.9474074456446446
proprietary extract formula,Cognitive/Focus,0,0.4695738203957382,-0.9078790814580069
hesperidin complex,Cognitive/Focus,1,0.4694284583295271,-0.9474074456446446
methionine,Cognitive/Focus,1,0.4694284583295271,-0.9474074456446446
maca root extract,Cognitive/Focus,2,0.4692830165692008,-0.9603465013521427
l-leucine,Cognitive/Focus,9,0.46054122523836755,-1.0009884858494886
inulin,Cognitive/Focus,4,0.45876660545207376,-1.0009884858494886
glutamic acid,Cognitive/Focus,1,0.45672638931065895,-0.9858815934592803
lemon bioflavonoid complex,Cognitive/Focus,1,0.45672638931065895,-0.9858815934592803
milk thistle extract,Cognitive/Focus,1,0.45672638931065895,-0.9858815934592803
phytosterols,Cognitive/Focus,0,0.444844989185292,-0.9858815934592803
serrapeptase,Cognitive/Focus,1,0.4446928502401523,-1.0233562988779432
l-arginine hydrochloride,Cognitive/Focus,2,0.44454062788550325,-1.0356346286563798
hawthorn,Cognitive/Focus,2,0.4368619555353902,-1.0598821749030571
l-lysine,Cognitive/Focus,6,0.4309133301818007,-1.09047049473648
arabinogalactan,Cognitive/Focus,1,0.41211424446390255,-1.130271502794455
"l-glutathione, reduced",Cognitive/Focus,1,0.41211424446390255,-1.130271502794455
dehydroepiandrosterone,Cognitive/Focus,3,0.4117918503012834,-1.1473450161533967
cranberry,Cognitive/Focus,1,0.40228895065836695,-1.1642188347177926
nattokinase,Cognitive/Focus,1,0.40228895065836695,-1.1642188347177926
fenugreek seed extract,Cognitive/Focus,2,0.402125104427736,-1.1753593923229928
"maca, powder",Cognitive/Focus,2,0.402125104427736,-1.1753593923229928
alfalfa,Cognitive/Focus,1,0.3839781758389596,-1.2298071763453693
pancreatin,Cognitive/Focus,2,0.3838093102073365,-1.240454420544878
dandelion root extract,Cognitive/Focus,2,0.37806853888452474,-1.2615160360727076
marshmallow,Cognitive/Focus,1,0.37543314758990287,-1.2615160360727078
l-valine,Cognitive/Focus,5,0.36925295124808505,-1.3027386987992204
fenugreek,Cognitive/Focus,1,0.3594339457618817,-1.322916580736851
policosanol,Cognitive/Focus,1,0.3594339457618817,-1.322916580736851
citrus bioflavonoids,Cognitive/Focus,3,0.35529129926543807,-1.3526639241309029
